,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,country,metric
679,3.373551122,3.610812078,3.255877286,3.077652557,2.939606303,2.913236778,2.686162659,2.990286858,4.008596676,4.784779353,6.77877139,3.974618356,6.493413094,13.39236534,4.151214481,7.13848951,4.3905525,6.039359256,4.599314161,4.88767885,4.660561272,4.666677107,Belize,emissions_per_capita
680,9.435195973,7.365782702,8.190948279,7.376075071,7.122594825,7.571876977,7.298840507,7.272748295,7.561566475,6.452204446,5.792472004,4.601507949,6.440862152,4.811775744,4.004776849,5.93624561,4.309200901,4.580585984,4.194552865,4.119516165,3.473241214,3.404051635,Benin,emissions_per_capita
681,11.00634371,9.853236712,7.947438058,7.995684739,8.282048651,8.314697302,8.383583762,6.961580128,7.576231659,8.028617035,8.393112852,8.161259807,8.378310752,8.57501137,9.287221745,9.114885385,9.306995908,8.318634031,8.579775635,8.551157069,9.131066455,9.523506157,Bermuda,emissions_per_capita
682,2.39053471,2.388196092,3.020304932,3.068833818,3.157463794,3.238156444,3.247478692,3.065946821,3.642107718,7.034387577,4.093965228,2.778095574,2.853510138,2.380591817,2.559370092,2.484576688,2.948410304,3.414016253,2.74577509,3.095263953,4.471250628,4.451519558,Bhutan,emissions_per_capita
683,28.09783882,26.1939691,27.31737739,29.41914006,21.09901273,22.51597245,22.82119289,22.75111195,16.94623883,27.60380314,10.95998567,7.323604246,12.79288166,14.14206076,28.16443039,33.91174331,17.68918617,24.1023495,12.50044823,7.83149303,10.37487132,61.61612332,Bolivia,emissions_per_capita
684,6.918186616,6.352766512,5.016171139,4.465872905,1.630529405,1.695287345,1.863905335,3.169692519,3.931066544,4.061236411,5.930301027,4.758443365,4.493366545,4.884531528,5.227785117,5.420900762,5.932580531,6.424584017,6.31202938,6.376655939,6.679949907,6.890320491,Bosnia and Herzegovina,emissions_per_capita
685,9.69194761,7.720199592,10.6093219,6.128437518,7.200399575,7.709867658,6.332604554,6.136999452,20.43599446,20.32595571,22.85095996,30.83572998,28.79672486,9.656771842,13.01196236,12.97662128,22.93892907,13.51142973,37.12200485,11.42976718,39.87255569,39.18782649,Botswana,emissions_per_capita
686,10.68007026,10.26677047,10.61394209,11.23259359,9.081795897,9.673712676,9.762429743,9.812235172,13.27569982,9.216488607,6.955203274,7.159826278,8.79240987,8.847019778,10.57095334,12.6615519,8.500756071,14.02342131,7.87011461,6.161471329,14.61246226,14.72709006,Brazil,emissions_per_capita
687,71.48301348,66.59221115,84.85504818,72.28008451,66.20532038,72.08120335,60.02070729,60.15380893,56.13979102,29.27569485,29.19158867,29.26699597,28.65842019,30.78764922,29.01348243,30.31027746,35.84195681,34.71202508,36.07817015,35.00516612,35.9103134,36.28675811,Brunei,emissions_per_capita
688,12.39761917,9.925510465,9.428076206,9.303724851,9.09689349,9.727488372,9.907257547,9.448067797,8.708264511,8.021848766,8.102043384,8.569983325,8.097004233,8.950408261,8.8503064,8.855769752,9.079183455,9.612123274,9.572205685,8.749191565,9.18726306,9.926968838,Bulgaria,emissions_per_capita
689,1.379067585,1.310449067,1.356104624,1.345758842,1.355990769,1.394689291,1.397399586,1.450701547,4.135047264,3.671722171,4.003301532,3.451847076,4.073105701,3.455159966,3.322404086,3.562058554,2.989994503,3.058877936,2.767439497,2.866511319,2.776722488,2.710657112,Burkina Faso,emissions_per_capita
690,0.498640529,0.500615512,0.495803486,0.501939284,0.485292567,0.480674688,0.481058576,0.476574408,0.9565647,0.417851892,0.502266371,0.4881212,0.702453743,0.710525083,0.700954199,0.668284025,0.67574843,0.643329006,0.64895583,0.648502459,0.638506254,0.628386175,Burundi,emissions_per_capita
691,2.16696948,1.951199359,2.15606407,2.00104336,1.714652071,1.944014279,1.725906678,1.724228712,10.76461686,4.5884118,3.452913677,5.140685657,8.562905694,8.215245275,13.60391651,7.601505189,7.55024406,14.35766271,8.646605343,6.198590064,8.791133189,8.691694609,Cambodia,emissions_per_capita
692,8.082178003,6.508390981,7.127369324,6.582870204,6.142737009,6.516146114,6.23017029,6.171616702,10.43954938,8.685515554,10.24007897,7.275224896,7.642830265,9.699390792,5.523433379,8.866773811,6.661650367,6.307318286,6.178569717,5.815291238,4.847987146,4.753361288,Cameroon,emissions_per_capita
693,21.90223454,22.22620005,21.69292995,22.73729191,27.72827104,28.48080773,23.54966753,23.01211017,37.32778507,26.9382233,24.72052051,23.11745614,28.97411358,30.03450688,32.50935365,26.2997877,27.47647143,27.1244467,27.33959592,22.29840971,22.47115184,30.09313696,Canada,emissions_per_capita
694,0.610210604,0.622631238,0.661755418,0.649588516,0.603721377,0.64828678,0.583822151,0.607106624,0.628293457,0.638394417,0.759806034,0.674544715,0.678612482,0.685376755,0.715566489,0.764948273,0.720390871,0.747533463,0.762914944,0.773415461,0.806184011,0.815236094,Cape Verde,emissions_per_capita
695,11.89156156,11.72583866,11.09761163,9.26314191,10.04290328,10.4923797,9.87689921,7.760796943,8.249464098,8.401850666,7.340707976,7.071163885,6.955997005,6.742274635,7.318915199,7.125804105,7.012524946,7.360891395,7.511060009,7.34016322,7.602877087,7.709996801,Cayman Islands,emissions_per_capita
696,49.77352143,35.23596915,42.22322895,37.09315152,35.65781243,40.1357766,37.90766572,37.82879025,153.4543576,119.6701413,134.0890021,119.6016496,90.93011163,135.8297533,86.61696168,112.3209351,144.275206,165.5003598,140.9850465,98.19429044,115.0609215,113.2863616,Central African Republic,emissions_per_capita
697,3.077915456,2.483007335,2.72379812,2.48642717,2.405906066,2.561642897,2.4551897,2.519691978,14.21594615,15.37718902,15.49115095,12.01894386,14.12831903,14.15823205,12.88515759,12.30351466,12.24591821,11.92972367,10.7326004,8.864187295,9.173413686,8.900559572,Chad,emissions_per_capita
699,4.164784698,3.964000894,4.084543296,4.241795728,4.452149875,4.680351946,5.114392172,5.645627847,6.195842489,6.481169367,5.957961587,5.916116621,5.867916699,5.991143644,6.276488286,6.311548031,6.263311647,6.871729736,6.669556841,6.560000831,6.716701393,6.840276398,Chile,emissions_per_capita
700,3.429110815,3.506502205,3.58163154,3.732299328,3.870912708,4.185025684,4.255989909,4.157231757,4.139832358,4.054563575,4.025142142,4.045698431,4.275941034,4.833097252,5.490918658,5.985591691,6.539484829,6.923249373,7.565762255,7.975350345,8.360446137,8.975515761,China,emissions_per_capita
701,5.088677835,4.928504618,5.019133521,5.215576581,4.625188665,4.78345712,4.821219589,4.866344776,4.213984181,3.755988826,4.071888723,3.752446278,3.565663382,3.866487299,4.086884874,3.479625389,3.457149832,3.989532604,3.729262704,3.785251547,3.630286603,3.667584865,Colombia,emissions_per_capita
702,0.709083818,0.690818971,0.669701257,0.665697304,0.661081686,0.662992406,0.659564079,0.65423987,0.656759564,0.665782933,0.668077017,0.754436205,0.706028799,0.657051925,0.645230836,0.777268667,0.607880498,0.790961466,0.870274746,0.779752,0.778053636,0.774242093,Comoros,emissions_per_capita
